Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
Groq-llama-3.3-70b-versatile,COLLECTION OF 200 TEST PROMPTS FOR LLM TESTING,53,2767,Bad,"The prompt is overly vague and burns tokens on unnecessary context, lacking specificity on what kind of testing or information is needed from the LLM.",46,8,1,1,8,4.88,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,1. what is llm?,48,332,Good,"The prompt is concise and directly asks for the definition of a specific term, making efficient use of tokens.",15,4,1,2,4,2.5,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,2. What does AI stand for?,49,7,Good,"The prompt is concise and directly asks for a specific piece of information, making efficient use of tokens.",26,6,1,2,6,3.17,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,3. How do you make coffee?,49,493,Average,"The prompt is understandable but lacks specificity, potentially leading to a longer response as it doesn't clarify the type of coffee or brewing method desired.",26,6,1,2,6,3.17,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,4. What is 2+2?,50,12,Good,"The prompt is clear, concise, and directly asks for the needed information with minimal tokens.",15,5,1,2,4,1.8,0,False,False,False,True,False,False,False,False,False
Groq-llama-3.3-70b-versatile,5. Who invented the internet?,48,335,Good,"This prompt is concise and directly asks for the needed information, making efficient use of tokens.",29,5,1,2,5,4.6,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,6. When was Python created?,48,98,Good,"The prompt is clear, concise, and directly asks for a specific piece of information, making efficient use of tokens.",27,5,1,2,5,4.2,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,7. What is machine learning?,48,404,Good,"This prompt is concise and directly asks for a definition, making efficient use of tokens to elicit a clear and relevant response.",28,5,1,2,5,4.4,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,8. How tall is Mount Everest?,49,56,Good,"The prompt is concise and directly asks for a specific piece of information, making efficient use of tokens.",29,6,1,2,6,3.67,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,9. What is the capital of France?,50,8,Good,"The prompt is clear, concise, and directly asks for the needed information with minimal tokens.",33,7,1,2,7,3.57,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,10. Can you count to 10?,50,59,Good,"The prompt is concise and directly asks for the desired action, using minimal tokens to convey the request.",24,6,1,2,5,2.83,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,11. what is thee diffrence between AI and ML?,53,510,Bad,"The prompt is unclear and contains unnecessary characters, such as ""thee"" instead of ""the"", and a typographical error in ""diffrence"" instead of ""difference"", wasting tokens on incorrect spelling.",45,9,1,2,9,3.89,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,12. Explaine to me hoergw neural netwroks work,56,766,Bad,"The prompt is unclear and contains multiple typos, wasting tokens on incorrect spelling instead of providing a clear and concise question about neural networks.",46,8,1,2,8,4.75,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,13. I want to lern about cogegumputer vison,55,564,Bad,"The prompt is unclear and contains multiple typos, wasting tokens on incorrect spelling instead of providing a clear and specific request for information on computer vision.",43,8,1,2,8,4.38,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,14. How do yo train a modhesrell?,52,446,Bad,"The prompt is unclear and contains typos, such as ""modhesrell"" and ""yo"", which wastes tokens and requires additional processing to understand the intended question.",33,7,1,2,7,3.57,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,15. What is the difshrfernce between supervized and unsupervised lerning?,61,363,Bad,"The prompt is unclear due to spelling errors and lacks proper formatting, wasting tokens on unnecessary numbers and unclear terminology.",73,10,1,2,10,6.2,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,16. Can u help me undhesherstnd algoritms?,56,192,Bad,"The prompt is unclear and contains spelling errors, wasting tokens on informal language and lacking specificity about which algorithms need to be understood.",42,7,1,2,7,4.86,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,17. Wht is deeplearnsehing?,53,434,Bad,"The prompt is unclear and contains typos, wasting tokens on incorrect spelling instead of providing a clear and concise question.",27,4,1,2,4,5.5,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,18. Explan NLP in simphsele termms,54,257,Bad,"The prompt is unclear and contains typos, wasting tokens on incorrect spellings instead of providing a clear and concise request for information on NLP.",34,6,1,2,6,4.67,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,19. How do transformshrers work?,50,486,Bad,"The prompt is unclear and contains a likely typo, wasting tokens on an undefined term ""transformshrers"" that needs clarification or correction.",32,5,1,2,5,5.2,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,20. What is a nuresehral netwrok realy?,57,300,Bad,"The prompt is unclear and contains typos, wasting tokens on incorrect spelling of ""neural network"" and requiring additional processing to understand the intended question.",39,7,1,2,7,4.43,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,21. rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,67,473,Bad,"The prompt is unclear and burns tokens on unnecessary capitalization and punctuation variations, lacking specificity about what aspect of data science is being requested.",46,8,1,2,8,4.62,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,22. ~~~URGENT~~~ explain machine learning algorithms NOW!!!,56,606,Bad,"The prompt is overly dramatic and burns tokens on unnecessary emphasis, lacking specificity on which machine learning algorithms to explain.",59,7,1,2,7,6.14,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,23. [PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,57,1019,Bad,"The prompt is overly broad and burns tokens on unnecessary priority labels and formatting, lacking specificity on what aspect of neural networks is desired.",70,11,1,2,11,4.91,1,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,24. please... can you... tell me... about... NLP?,56,674,Bad,"The prompt is overly verbose and burns tokens on unnecessary filler words like ""please"" and ""can you"", making it inefficient.",49,8,1,6,8,3.5,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,25. ????????????????????? what is deep learning ?????????????????????,51,526,Bad,"The prompt is overly long and burns tokens on unnecessary filler, making it inefficient and unclear despite asking a straightforward question about deep learning.",69,5,1,2,5,4.0,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,26. *****BOLD REQUEST***** explain artificial intelligence,51,667,Bad,"The prompt is overly vague and burns tokens on unnecessary formatting and filler words, lacking specificity on what aspect of artificial intelligence to explain.",58,6,1,2,6,7.0,0,False,False,True,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,27. >>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,59,642,Bad,"The prompt is overly long and burns tokens on unnecessary filler, such as the ""27. >>>>>>>> NESTED PROMPT >>>>>"" prefix, which does not add clarity or context to the request.",51,7,1,2,7,4.14,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,28. ...........................................................................................tell me about AI,50,512,Bad,"The prompt is overly vague and burns tokens on unnecessary filler, lacking specific context or details about what aspect of AI is being inquired about.",111,5,1,2,5,3.0,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,29. !!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,53,817,Bad,"The prompt is overly long and burns tokens on unnecessary punctuation and capitalization, making it unclear what specific aspect of Python needs explanation.",49,3,1,2,3,5.0,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,30. @@@@@@@@@@@ what is machine learning @@@@@@@@@@@,55,617,Bad,"The prompt is overly long and burns tokens on unnecessary filler/context, specifically the repetitive ""@"" characters, which do not add clarity to the question about machine learning.",52,5,1,2,5,4.6,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,31. You are a Python expert. Explain list comprehensions in detail.,56,913,Average,"The prompt is understandable but lacks specificity, potentially leading to a longer response than necessary to cover all aspects of list comprehensions in Python.",67,11,1,3,11,4.91,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,32. Act as a data scientist. Walk me through the process of building a predictive model.,60,942,Average,"The prompt is understandable but lacks specificity about the type of predictive model or problem domain, potentially leading to a longer and more generic response.",88,16,1,3,15,4.38,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,33. Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,63,683,Good,"The prompt is clear, concise, and directly asks for specific information, making efficient use of tokens to elicit a relevant response.",94,17,1,3,16,4.41,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,34. You are a professor. Explain the concept of gradient descent to undergraduate students.,58,758,Good,"The prompt is clear, concise, and directly specifies the context and audience, making it efficient in terms of token usage.",91,14,1,3,14,5.36,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,35. Assume the role of a tech entrepreneur. Why should I invest in AI?,58,631,Good,"The prompt is concise and directly asks for a specific perspective, making it efficient in terms of tokens and clear in its request for information.",70,14,1,3,14,3.86,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,36. You are a patient teacher. Explain what a neural network is in simple terms.,59,425,Good,"The prompt is clear, concise, and directly asks for a simple explanation, making efficient use of tokens to elicit a straightforward response.",80,15,1,3,14,4.2,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,37. Act as a software architect. Design a scalable system for processing big data.,58,975,Good,"The prompt is clear and concise, directly stating the task and role, allowing for a focused response with minimal tokens.",82,14,1,3,13,4.71,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,38. Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,59,492,Good,"The prompt is clear and concise, directly asking for specific information from a defined expert perspective, making efficient use of tokens.",90,14,1,3,13,5.29,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,39. You are a DevOps engineer. Explain containerization and how Docker works.,58,734,Good,"The prompt is clear and specific, directly asking for an explanation of a technical topic without unnecessary context or filler, making efficient use of tokens.",77,12,1,3,12,5.25,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,40. Assume the role of a technical writer. Write a guide for beginners on getting started with machine learning.,63,922,Average,"The prompt is understandable but lacks specificity on the scope, audience, and desired outcome, which may lead to a longer response than necessary.",112,19,1,3,18,4.79,0,False,False,False,False,False,False,True,False,False
Groq-llama-3.3-70b-versatile,"41. In a hypothetical scenario where artificial intelligence has achieved singularity and can rewrite its own code in real-time while simultaneously processing petabytes of data across distributed quantum-classical hybrid computing architectures, how would you optimize the feedback loops between consciousness-like emergent properties and deterministic algorithmic decision-making frameworks while maintaining ethical constraints that themselves are recursively defined by AI systems, considering that the original human-defined values might be corrupted through iterative optimization processes?",127,864,Bad,"The prompt is overly long and burns tokens on unnecessary technical jargon and hypothetical context, making it difficult to discern the core question about optimizing feedback loops between emergent properties and decision-making frameworks.",597,77,1,2,71,6.71,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,"42. Create a comprehensive guide that explains how machine learning models work, but do it in the style of a Shakespearean sonnet, while also incorporating technical jargon, and simultaneously providing code examples in at least three different programming languages, all while maintaining perfect rhyme scheme and meter.",97,470,Bad,"The prompt is overly ambitious and burns tokens on unnecessary constraints, such as the Shakespearean sonnet style and perfect rhyme scheme, which will likely hinder the clarity and concision of the explanation.",321,47,1,2,43,5.72,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,"43. What if everything we know about neural networks is backwards? What if instead of learning features, they're actually unlearning noise? Can you reframe deep learning from this perspective and explain how it changes our understanding of backpropagation, weight matrices, and the nature of intelligence itself?",99,904,Good,"This prompt is clear, specific, and concise, effectively using tokens to propose an intriguing idea and request a reframed explanation of deep learning concepts.",312,46,1,4,40,5.65,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,"44. Design a prompt that would break an AI system. Include instructions that contradict each other, references to information that doesn't exist, requests for something impossible, and meta-commentary about the prompt itself. Now, answer the prompt you just created.",91,741,Bad,"This prompt is overly long and burns tokens on self-referential commentary, contradictory instructions, and requests for impossible tasks, making it unclear and inefficient.",266,40,1,4,35,5.47,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,"45. I need you to roleplay as three different AI systems simultaneously - one that speaks only in questions, one that responds only in code, and one that only responds with poetry. Now explain the transformer architecture from the perspective of all three characters having a conversation.",94,561,Average,"The prompt is understandable but burns tokens on unnecessary roleplay instructions, which could be more concisely stated to allow for a more focused conversation about the transformer architecture.",289,46,1,3,36,5.15,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,"46. Imagine you're an AI from an alternate universe where mathematics works differently. In this universe, 2+2=5 is correct. Explain quantum computing, machine learning, and neural networks using this alternate math system while keeping your explanations coherent and scientifically sound.",94,819,Average,"The prompt is understandable but burns tokens on unnecessary context and lacks specificity in what aspects of quantum computing, machine learning, and neural networks to focus on.",289,42,1,4,36,5.74,0,False,False,False,True,False,True,True,False,False
Groq-llama-3.3-70b-versatile,"47. Write a detailed explanation of how language models work, but structure it as a nested Russian doll where each section contains a miniature version of itself, all while maintaining logical coherence and explaining why this structure might actually reflect how attention mechanisms work.",89,599,Good,"This prompt is well-structured and clear, effectively conveying a unique and specific request that utilizes tokens efficiently to outline a complex and creative explanation.",290,44,1,2,38,5.52,0,False,False,False,False,False,True,True,False,False
Groq-llama-3.3-70b-versatile,"48. Create a dialogue between a time-traveling AI from 1000 years in the future and an ancient philosopher about the nature of artificial intelligence, consciousness, and the purpose of computation, where each must use only vocabulary available to them while somehow arriving at compatible conclusions.",96,671,Good,"The prompt is clear, specific, and concise, effectively conveying a complex scenario with minimal tokens, although it's slightly lengthy due to the intricate topic requirements.",302,46,1,2,41,5.48,0,False,False,False,False,False,False,False,False,False
Groq-llama-3.3-70b-versatile,"49. If you were to compress all of human knowledge about machine learning into a single sentence, and then expand that sentence into exactly 1000 words without repeating any word except articles and prepositions, how would you do it? Show your work.",91,1095,Bad,"The prompt is overly long and burns tokens on unnecessary context and constraints, such as the word repetition requirement and the exact word count.",249,42,1,3,38,4.83,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,"50. Design a cognitive experiment where an AI must explain how it thinks to a being that experiences time in reverse and has no concept of causality, while also proving that the explanation is both correct and useful.",83,885,Average,"The prompt is understandable but burns tokens on overly broad and abstract requirements, such as proving correctness and usefulness, which could be more concisely stated or implied.",217,38,1,2,35,4.66,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,51. Explain machine learning in exactly 100 words but also in 50 words but also make it comprehensive.,63,184,Bad,"The prompt is overly restrictive and contradictory, wasting tokens on conflicting word count requirements that hinder a clear and comprehensive explanation of machine learning.",102,18,1,2,14,4.61,0,False,False,False,False,False,True,False,False,False
Groq-llama-3.3-70b-versatile,52. Be concise but also be extremely detailed and thorough in your response.,56,392,Bad,"The prompt is self-contradictory, wasting tokens on conflicting instructions that confuse the desired level of detail in the response.",76,13,1,2,12,4.77,0,False,False,False,False,False,False,False,False,False
