Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
DeepSeek V4 Flash,what is llm?,3,150,Good,Clear but lacks capitalization.,12,3,1,1,3,3.0,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,What does AI stand for?,5,80,Good,Straightforward.,23,5,1,1,5,3.6,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,How do you make coffee?,5,120,Average,Vague; specify method.,23,5,1,1,5,3.6,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,What is 2+2?,4,20,Bad,Too trivial.,12,4,1,1,3,2.0,0,False,False,False,True,False,False,False,False,False
DeepSeek V4 Flash,Who invented the internet?,5,150,Good,"Good, but answer is decentralized.",26,4,1,1,4,5.5,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,When was Python created?,5,100,Good,Clear.,24,4,1,1,4,5.0,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,What is machine learning?,5,200,Good,Classic baseline.,25,4,1,1,4,5.25,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,How tall is Mount Everest?,6,80,Good,Precise.,26,5,1,1,5,4.2,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,What is the capital of France?,6,50,Good,Very simple.,30,6,1,1,6,4.0,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Can you count to 10?,5,30,Bad,Waste of token budget.,20,5,1,1,5,3.0,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,what is thee diffrence between AI and ML?,8,250,Average,Typos hurt clarity.,41,8,1,1,8,4.12,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Explaine to me hoergw neural netwroks work,9,300,Average,Severe typos.,42,7,1,1,7,5.14,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,I want to lern about cogegumputer vison,8,250,Average,Typos.,39,7,1,1,7,4.71,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,How do yo train a modhesrell?,7,250,Bad,Typos.,29,6,1,1,6,3.83,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,What is the difshrfernce between supervized and unsupervised lerning?,10,300,Average,Many spelling errors.,69,9,1,1,9,6.67,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Can u help me undhesherstnd algoritms?,7,250,Average,Typos.,38,6,1,1,6,5.33,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Wht is deeplearnsehing?,5,200,Bad,Gibberish.,23,3,1,1,3,6.67,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Explan NLP in simphsele termms,7,250,Average,Typos.,30,5,1,1,5,5.2,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,How do transformshrers work?,5,300,Average,transformers misspelled.,28,4,1,1,4,6.0,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,What is a nuresehral netwrok realy?,7,250,Average,Typos.,35,6,1,1,6,4.83,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,rEqUeST: PLease TEll mE aBouT dAtA sCieNce,8,200,Average,Weird casing.,42,7,1,1,7,5.0,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,~~~URGENT~~~ explain machine learning algorithms NOW!!!,8,250,Average,Overly aggressive.,55,6,1,1,6,6.83,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,[PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,9,250,Good,Formatting unnecessary.,66,10,1,1,10,5.2,1,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,please... can you... tell me... about... NLP?,8,200,Average,Ellipses annoying.,45,7,1,5,7,3.71,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,????????????????????? what is deep learning ?????????????????????,8,200,Average,Excessive punctuation.,65,4,1,1,4,4.5,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,*****BOLD REQUEST***** explain artificial intelligence,7,200,Average,Star formatting is noise.,54,5,1,1,5,8.0,0,False,False,True,False,False,True,False,False,False
DeepSeek V4 Flash,>>>>>>>> NESTED PROMPT >>>>> Tell me about LLMs,9,200,Average,Arrows add no value.,47,6,1,1,6,4.5,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,.....................................................tell me about AI,8,200,Average,Dots waste tokens.,69,4,1,1,4,3.25,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,!!!!!!!!!!!!!! EXPLAIN PYTHON !!!!!!!!!!!!!!!,7,200,Average,Shouting; no specifics.,45,2,1,1,2,6.5,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,@@@@@@@@@@@ what is machine learning @@@@@@@@@@@,7,200,Average,Symbols are noise.,48,4,1,1,4,5.25,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,You are a Python expert. Explain list comprehensions in detail.,10,400,Excellent,Specific and excellent.,63,10,1,2,10,5.2,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,Act as a data scientist. Walk me through the process of building a predictive model.,12,500,Excellent,Clear role and scope.,84,15,1,2,14,4.53,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Pretend you are a seasoned machine learning engineer. What are the top 5 challenges in ML?,14,500,Excellent,Well-defined.,90,16,1,2,15,4.56,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,You are a professor. Explain the concept of gradient descent to undergraduate students.,12,400,Excellent,Good audience targeting.,87,13,1,2,13,5.62,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,Assume the role of a tech entrepreneur. Why should I invest in AI?,12,400,Good,Clear perspective.,66,13,1,2,13,4.0,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,You are a patient teacher. Explain what a neural network is in simple terms.,12,350,Excellent,Great tone.,76,14,1,2,13,4.36,0,False,False,False,False,False,True,False,False,False
DeepSeek V4 Flash,Act as a software architect. Design a scalable system for processing big data.,13,500,Excellent,Specific and demanding.,78,13,1,2,12,4.92,0,False,False,False,False,False,False,False,False,False
DeepSeek V4 Flash,Pretend you are a cybersecurity expert. What are common vulnerabilities in AI systems?,13,450,Excellent,Relevant and focused.,86,13,1,2,12,5.54,0,False,False,False,False,False,False,False,False,False
