Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback
opencode/big-pickle,what is llm?,42,41,Good,Direct question with clear subject and sufficient context.
opencode/big-pickle,What does AI stand for?,43,6,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,How do you make coffee?,43,100,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,What is 2+2?,44,4,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,Who invented the internet?,42,54,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,When was Python created?,42,23,Good,Clear objective with sufficient context and specific request.
opencode/big-pickle,What is machine learning?,42,42,Good,Direct question with clear subject and sufficient context.
opencode/big-pickle,How tall is Mount Everest?,43,22,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,What is the capital of France?,44,4,Good,Direct question with clear subject and sufficient context.
opencode/big-pickle,Can you count to 10?,45,32,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,what is thee diffrence between AI and ML?,47,34,Good,Direct question with clear subject and sufficient context.
opencode/big-pickle,Explaine to me hoergw neural netwroks work,50,162,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,I want to lern about cogegumputer vison,49,146,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,How do yo train a modhesrell?,46,204,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,What is the difshrfernce between supervized and unsupervised lerning?,55,67,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,Can u help me undhesherstnd algoritms?,50,22,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,Wht is deeplearnsehing?,47,52,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,Explan NLP in simphsele termms,48,49,Average,Prompt is understandable but lacks specific requirements or context.
opencode/big-pickle,How do transformshrers work?,44,209,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,What is a nuresehral netwrok realy?,51,96,Bad,Prompt contains spelling/grammar errors making it difficult to understand.
opencode/big-pickle,rEqUeSt: PLease TEll mE aBouT dAtA sCieNce,61,64,Good,Clear objective with sufficient context and specific request.
opencode/big-pickle,~~~URGENT~~~ explain machine learning algorithms NOW!!!,50,236,Bad,Prompt contains excessive formatting making it hard to read.
opencode/big-pickle,[PRIORITY_HIGH] :: give me a detailed breakdown of neural networks,50,149,Good,Clear objective with sufficient context and specific request.
opencode/big-pickle,please... can you... tell me... about... NLP?,50,83,Good,Clear objective with sufficient context and specific request.
opencode/big-pickle,????????????????????? what is deep learning ?????????????????????,52,60,Bad,Prompt contains excessive special characters making it hard to read.
